CFDA,Name
10.001,Agricultural Research Basic and Applied Research
10.028,Wildlife Services
10.069,Conservation Reserve Program
10.072,Wetlands Reserve Program
10.093,Voluntary Public Access and Habitat Incentive Program
10.132,Coronavirus Food Assistance Program 2
10.176,Dairy Business Innovation Initiatives
10.200,"Grants for Agricultural Research, Special Research Grants"
10.202,Cooperative Forestry Research
10.206,Grants for Agricultural Research_Competitive Research Grants
10.212,Small Business Innovation Research
10.215,Sustainable Agriculture Research and Education
10.216,1890 Institution Capacity Building Grants
10.227,1994 Institutions Research Program
10.250,"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations"
10.255,Research Innovation and Development Grants in Economic (RIDGE)
10.290,Agricultural Market and Economic Research
10.303,Integrated Programs
10.306,Biodiesel
10.310,Agriculture and Food Research Initiative (AFRI) 
10.312,Biomass Research and Development Initiative Competitive Grants Program (BRDI)
10.320,Sun Grant Program
10.326,Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA)
10.328,"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program "
10.330,Alfalfa and Forage Research Program
10.351,Rural Business Development Grant
10.377,NULL
10.460,Risk Management Education Partnerships
10.500,Cooperative Extension Service
10.515,Renewable Resources Extension Act and National Focus Fund Projects
10.517,Tribal Colleges Extension Programs
10.601,Market Access Program
10.618,NULL
10.652,Forestry Research
10.664,Cooperative Forestry Assistance
10.674,Wood Utilization Assistance
10.675,Urban and Community Forestry Program
10.676,Forest Legacy Program
10.678,Forest Stewardship Program
10.679,Collaborative Forest Restoration
10.680,Forest Health Protection
10.684,International Forestry Programs
10.687,Recovery Act of 2009: Capital Improvement and Maintenance
10.689,Community Forest and Open Space Conservation Program (CFP)
10.691,Good Neighbor Authority 
10.693,Watershed Restoration and Enhancement Agreement Authority
10.698,State & Private Forestry Cooperative Fire Assistance
10.701,Stewardship Agreements
10.708,NULL
10.712,Great American Outdoors Act Deferred Maintenance Program
10.759,Part 1774 Special Evaluation Assistance for Rural Communities and Households (SEARCH)
10.760,Water and Waste Disposal Systems for Rural Communities
10.760,Water and Waste Disposal Systems for Rural Communities
10.761,Technical Assistance and Training Grants
10.762,Solid Waste Management Grants
10.763,Emergency Community Water Assistance Grants
10.766,Community Facilities Loans and Grants
10.768,Business and Industry Loans
10.770,Water and Waste Disposal Loans and Grants (Section 306C)
10.781,Water and Waste Disposal Systems for Rural Communities - ARRA
10.862,Household Water Well System Grant Program
10.864,Grant Program to Establish a Fund for Financing Water and Wastewater Projects
10.902,Soil and Water Conservation
10.903,Soil Survey
10.904,Watershed Protection and Flood Prevention
10.905,Plant Materials for Conservation
10.907,Snow Survey and Water Supply Forecasting
10.912,Environmental Quality Incentives Program
10.913,Farm and Ranch Lands Protection Program
10.914,Wildlife Habitat Incentive Program
10.916,Watershed Rehabilitation Program
10.917,Agricultural Management Assistance
10.918,Ground and Surface Water Conservation_ Environmental Quality Incentives Program
10.920,Grassland Reserve Program
10.921,Conservation Security Program 
10.922,Healthy Forests Reserve Program (HFRP)
10.923,Emergency Watershed Protection Program
10.924,Conservation Stewardship Program
10.925,Agricultural Water Enhancement Program
10.927,NULL
10.928,NULL
10.929,NULL
10.931, Agricultural Conservation Easement Program 
10.932,Regional Conservation Partnership Program
10.933,NULL
10.950,Agricultural Statistics Reports
10.951,Agricultural Statistics
11.008,NOAA Mission-Related Education Awards
11.011,Ocean Exploration
11.012,Integrated Ocean Observing System (IOOS)
11.015,NULL
11.016,"Statistical, Research, and Methodology  Assistance"
11.020,Cluster Grants
11.020,Cluster Grants
11.021,NOAA Small Business Innovation Research (SBIR) Program
11.022,Bipartisan Budget Act of 2018
11.024,NULL
11.300,Investments for Public Works and Economic Development Facilities
11.302,Economic Development Support for Planning Organizations
11.303,Economic Development Technical Assistance
11.307,Economic Adjustment Assistance
11.312,Research and Evaluation Program
11.417,Sea Grant Support
11.419,Coastal Zone Management Administration Awards
11.420,Coastal Zone Management Estuarine Research Reserves
11.426,Financial Assistance for National Centers for Coastal Ocean Science
11.429,Marine Sanctuary Program
11.431,Climate and Atmospheric Research
11.432,National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes
11.433,Marine Fisheries Initiative
11.436,Columbia River Fisheries Development Program
11.437,Pacific Fisheries Data Program
11.438,Pacific Coast Salmon Recovery Pacific Salmon Treaty Program
11.440,"Environmental Sciences, Applications, Data, and Education"
11.441,Regional Fishery Management Councils
11.452,Unallied Industry Projects
11.455,Cooperative Science and Education Program
11.459,Weather and Air Quality Research
11.460,Special Oceanic and Atmospheric Projects
11.462,Hydrologic Research
11.463,Habitat Conservation
11.467,Meteorologic and Hydrologic Modernization Development
11.468,Applied Meteorological Research
11.469,Congressionally Identified Awards and  Projects
11.472,Unallied Science Program
11.473,Office for Coastal Management
11.478,Center for Sponsored Coastal Ocean Research Coastal Ocean Program
11.482,Coral Reef Conservation Program
11.483,NOAA Programs for Disaster Relief Appropriations Act - Non-construction and Construction
11.609,Measurement and Engineering Research and Standards
11.616,Technology Innovation Program (TIP) 
11.999,Marine Debris Program
12.003,Community Economic Adjustment Assistance for Responding to Threats to the Resilience of a Military Installation
12.005,Conservation and Rehabilitation of Natural Resources on Military Installations
12.010,Youth Conservation Services
12.104,Flood Plain Management Services
12.106,Flood Control Projects
12.110,Planning Assistance to States
12.130,Estuary Habitat Restoration Program
12.460,Fisher House Foundation
12.599,Congressionally Directed Assistance
12.600,Community Investment
14.218,Community Development Block Grants/Entitlement Grants
14.225,Community Development Block Grants/Special Purpose Grants/Insular Areas
14.228,Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii
14.251,"Economic Development Initiative-Special Project, Neighborhood Initiative and Miscellaneous Grants"
14.252,Section 4 Capacity Building for Community Development and Affordable Housing
14.253,Community Development Block Grant ARRA Entitlement Grants (CDBG-R)(Recovery Act Funded)
14.272,National Disaster Resilience Competition
14.892,Choice Neighborhoods Planning Grants 
14.905,Lead Hazard Reduction Demonstration Grant Program
14.913,Healthy Homes Production Program
15.032,Indian Economic Development
15.034,Agriculture on Indian Lands
15.035,Forestry on Indian Lands
15.037,Water Resources on Indian Lands
15.041,Environmental Management Indian 
15.051,Endangered Species on Indian Lands
15.065,Safety of Dams on Indian Lands
15.156,Tribal Climate Resilience 
15.225,Recreation and Visitor Services
15.228,BLM Fuels Management and Community Fire Assistance Program Activities
15.231,"Fish, Wildlife and Plant Conservation Resource Management"
15.232,Joint Fire Science Program
15.233,Forest and Woodlands Resource Management
15.234,Secure Rural Schools and Community Self-Determination
15.236,Environmental Quality and Protection
15.237,Rangeland Resource Management
15.238,Challenge Cost Share
15.239,Management Initiatives
15.243,Youth Conservation Opportunities on Public Lands
15.244,Fisheries and Aquatic Resources Management
15.245,Plant Conservation and Restoration Management
15.246,Threatened and Endangered Species
15.247,Wildlife Resource Management
15.248,National Landscape Conservation System
15.252,Abandoned Mine Land Reclamation (AMLR)
15.253,Not-for-Profit AMD Reclamation
15.426,Coastal Impact Assistance Program (CIAP)
15.504,Title XVI Water Reclamation and Reuse 
15.506,Water Desalination Research and Development 
15.507,WaterSMART (Sustain and Manage America’s Resources for Tomorrow)
15.511,Cultural Resources Management
15.514,Reclamation States Emergency Drought Relief
15.517,Fish and Wildlife Coordination Act
15.519,"Indian Tribal Water Resources Development, Management, and Protection"
15.524,Recreation Resources Management
15.530,Water Conservation Field Services (WCFS) 
15.531,Yakima River Basin Water Enhancement (YRBWE) 
15.534,"Miscellaneous Public Law 93-638 Contracts, Grants, and Cooperative Agreements"
15.536,Deschutes River Conservancy (DRC)
15.546,Youth Conservation 
15.548,Reclamation Rural Water Supply 
15.554,Cooperative Watershed Management 
15.557,Applied Science Grants
15.560,SECURE Water Act – Research Agreements
15.566,Upper Klamath Basin Hydrolic Analyses
15.569,NULL
15.572,NULL
15.574,Water Storage Enhancement
15.605,Sport Fish Restoration 
15.608,Fish and Wildlife Management Assistance
15.611,Wildlife Restoration and Basic Hunter Education
15.614,"Coastal Wetlands Planning, Protection and Restoration "
15.615,Cooperative Endangered Species Conservation Fund
15.616,Clean Vessel Act 
15.623,North American Wetlands Conservation Fund
15.625,Wildlife Conservation and Restoration
15.628,Multistate Conservation Grant 
15.630,Coastal
15.631,Partners for Fish and Wildlife
15.632,Conservation Grants Private Stewardship for Imperiled Species
15.633,Landowner Incentive 
15.634,State Wildlife Grants
15.635,Neotropical Migratory Bird Conservation 
15.637,Migratory Bird Joint Ventures
15.639,Tribal Wildlife Grants 
15.642,Challenge Cost Share
15.649,Service Training and Technical Assistance (Generic Training)
15.650,Research Grants (Generic)
15.654,National Wildlife Refuge System Enhancements
15.656,"Recovery Act Funds - Habitat Enhancement, Restoration and Improvement."
15.657,Endangered Species Recovery Implementation
15.658,Natural Resource Damage Assessment and Restoration
15.660,Candidate Species Conservation
15.664,Fish and Wildlife Coordination and Assistance 
15.665,National Wetlands Inventory
15.668,Coastal Impact Assistance 
15.669,Cooperative Landscape Conservation
15.670,Adaptive Science
15.674,National Fire Plan-Wildland Urban Interface Community Fire Assistance
15.676,"Youth Engagement, Education, and Employment "
15.678,Cooperative Ecosystem Studies Units
15.681,NULL
15.805,Assistance to State Water Resources Research Institutes
15.808,U.S. Geological Survey Research and Data Collection
15.810,National Cooperative Geologic Mapping 
15.812,Cooperative Research Units 
15.814,National Geological and Geophysical Data Preservation 
15.815,National Land Remote Sensing Education Outreach and Research
15.817,National Geospatial Program: Building The National Map 
15.820,National and Regional Climate Adaptation Science Centers
15.916,"Outdoor Recreation Acquisition, Development and Planning"
15.921,"Rivers, Trails and Conservation Assistance"
15.923,National Center for Preservation Technology and Training
15.931,Conservation Activities by Youth Service Organizations
15.943,Challenge Cost Share
15.944,Natural Resource Stewardship
15.945,Cooperative Research and Training Programs – Resources of the National Park System
15.954,"National Park Service Conservation, Protection, Outreach, and Education"
15.962,National Wild and Scenic Rivers System 
15.980,National Ground-Water Monitoring Network
15.981,Water Use and Data Research
17.002,Labor Force Statistics
17.283,Workforce Innovation Fund
17.286,Hurricanes and Wildfires of 2017 Supplemental– National Dislocated Worker Grants
19.017,Environmental and Scientific Partnerships and Programs
19.087,International Fisheries Commissions
19.750,Bureau of Western Hemisphere Affairs (WHA) Grant Programs (including Energy and Climate Partnership for the Americas)
20.106,Airport Improvement Program
20.200,Highway Research and Development Program
20.205,Highway Planning and Construction
20.215,Highway Training and Education
20.224,Federal Lands Access Program
20.324,NULL
20.326,Federal-State Partnership for State of Good Repair
20.500,Federal Transit Capital Investment Grants
20.500,Federal Transit Capital Investment Grants
20.519,Clean Fuels
20.523,Capital Assistance Program for Reducing Energy Consumption and Greenhouse Gas Emissions
20.526,"Buses and Bus Facilities Formula, Competitive, and Low or No Emissions Programs"
20.527,Public Transportation Emergency Relief Program
20.531,Technical Assistance and Workforce Development
20.703,Interagency Hazardous Materials Public Sector Training and Planning Grants
20.710,Technical Assistance Grants
20.814,Assistance to Small Shipyards
20.819,Ballast Water Treatment Technologies
20.823,Port Infrastructure Development Program
20.933,National Infrastructure Investments 
20.936,NULL
21.021,Bank Enterprise Award Program
38.009,NULL
43.001,Science
45.024,Promotion of the Arts Grants to Organizations and Individuals
47.041,Engineering
47.049,Mathematical and Physical Sciences
47.050,Geosciences
47.070,Computer and Information Science and Engineering
47.074,Biological Sciences
47.075,"Social, Behavioral, and Economic Sciences"
47.076,Education and Human Resources
47.081,Office of Experimental Program to Stimulate Competitive Research 
47.082,Trans-NSF Recovery Act Reasearch Support
47.083,Integrative Activities
59.007,7(j) Technical Assistance
59.011,Small Business Investment Companies
59.058,Federal and State Technology Partnership Program
59.059,Congressional Grants
59.065,NULL
59.077,NULL
64.005,Grants to States for Construction of State Home Facilities
66.001,Air Pollution Control Program Support
66.034,"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act"
66.035,Community Action for a Renewed Environment (CARE) Program
66.038,"Training, Investigations, and Special Purpose Activities of Federally-Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality"
66.039,Diesel Emission Reduction Act (DERA) National Grants
66.041,Climate Showcase Communities Grant Program
66.042,Temporally Integrated Monitoring of Ecosystems (TIME) and Long-Term Monitoring (LTM) Program
66.110,Healthy Communities Grant Program
66.112,"Surveys, Studies, Investigations, Training, Demonstrations, and Special Purpose Grants for Regional Geographic Initiatives "
66.121,Puget Sound Protection and Restoration: Tribal Implementation Assistance Program 
66.123,Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program 
66.202,Congressionally Mandated Projects
66.203,Environmental Finance Center Grants
66.204,Multipurpose Grants to States and Tribes 
66.305,Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers 
66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program
66.309,"Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice"
66.310,Capacity Building Grants and Cooperative Agreements for Compliance Assurance and Enforcement Activities in Indian Country and Other Tribal Areas
66.312,State Environmental Justice Cooperative Agreement Program
66.418,Construction Grants for Wastewater Treatment Works
66.418,Construction Grants for Wastewater Treatment Works
66.419,"Water Pollution Control State, Interstate, and Tribal Program Support"
66.424,"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act"
66.432,State Public Water System Supervision
66.433,State Underground Water Source Protection
66.436,"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act"
66.439,Targeted Watersheds Grants
