Top 10?,WA Water Resilence?,CFDA #,CFDA Name,Department/Ind. Agency,Awarding Sub Agency,Sub-Tier,WP Category,Types of Assistance,Total $,Total $ Rank,Per Capita $,Per Capita $ Rank,Unique from WP CFDA list?,Title,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
,,10.001,Agricultural Research Basic and Applied Research,USDA ARS,Agricultural Research Service,,,RESEARCH & INNOVATION,20417331.73,18,2.681,29,FALSE,AGRICULTURAL RESEARCH BASIC AND APPLIED RESEARCH,,,,,
,,10.028,Wildlife Services,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,Animal and Plant Health Inspection Service,,,Conservation/Forestry/Watersheds,8514122.3,12,1.118,25,FALSE,WILDLIFE SERVICES,,,,,
,y,10.069,Conservation Reserve Program,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,FARM SERVICE AGENCY,,D - Direct Payments with Unrestricted Use,18890,25,0.002,30,FALSE,Conservation Reserve Program,"10.904, 10.072, 10.054, 10.054, 10.902",12-Aug-20,12-Aug-20,TRUE,"Beverly Preston

1400 Independence Ave. SW, Washington DC 20250

202-720-9563 (office)"
,,10.072,Wetlands Reserve Program,NATURAL RESOURCES CONSERVATION SERVICE,Natural Resources Conservation Service,,,Capital Projects,78223,24,0.01,29,FALSE,WETLANDS RESERVE PROGRAM,,,,,
,y,10.093,Voluntary Public Access and Habitat Incentive Program,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,Conservation,B - Project Grants,0,48,0,48,TRUE,Voluntary Public Access and Habitat Incentive Program,N/A,11-Aug-20,11-Aug-20,TRUE,"Kari Cohen

Natural Resources Conservation Service

1400 Independence Ave, SW, Washington DC 20250

202-720-6037"
,,10.132,Coronavirus Food Assistance Program 2,,NULL,,Conservation,,0,48,0,48,TRUE,Regional Conservation Partnership Program (RCPP),,,,,
,y,10.176,Dairy Business Innovation Initiatives,"AGRICULTURE, DEPARTMENT OF",NULL,AGRICULTURAL MARKETING SERVICE,Research & Innovation,B - Project Grants,0,49,0,49,TRUE,Dairy Business Innovation Initiatives,"10.179, 10.179",2-Mar-21,2-Mar-21,FALSE,"USDA Dairy Business Innovation Initiatives

1400 Independence Ave SW, Washington DC 20250

2027201403"
,,10.200,"Grants for Agricultural Research, Special Research Grants",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,National Institute of Food and Agriculture,,,RESEARCH & INNOVATION,19069062.16,5,2.504,10,FALSE,"GRANTS FOR AGRICULTURAL RESEARCH, SPECIAL RESEARCH GRANTS",,,,,
,,10.202,Cooperative Forestry Research,"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Research & Innovation,A - Formula Grants (Apportionments),13871162.95,12,1.822,30,TRUE,Cooperative Forestry Research,"10.200, 10.001, 10.205, 10.219, 10.203, 10.207, 10.001, 10.250, 10.652",28-Jul-20,28-Jul-20,TRUE,"USDA, NIFA, National Program Leader

Institute of Bioenergy, Climate and Environment – Division of Environmental Systems,

National Institute of Food and Agriculture

U.S. Department of Agriculture

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141-3061

(202) 720-5229"
,,10.206,Grants for Agricultural Research_Competitive Research Grants,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,National Institute of Food and Agriculture,,,RESEARCH & INNOVATION,-236914,42,-0.031,34,FALSE,GRANTS FOR AGRICULTURAL RESEARCH_COMPETITIVE RESEARCH GRANTS,,,,,
